tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-09-01 05:31:00,1630454460000,ETHUSDT,3418.92,3422.55,3416.51,3420.18,8069571.12997,0,2359.781
2021-09-01 05:32:00,1630454520000,ETHUSDT,3420.3,3422.02,3407.95,3409.35,8538180.29395,0,2501.887
2021-09-01 05:33:00,1630454580000,ETHUSDT,3409.23,3409.23,3402.1,3408.53,7476102.33283,0,2195.558
2021-09-01 05:34:00,1630454640000,ETHUSDT,3408.53,3425.72,3408.53,3425.46,9776229.01308,0,2860.585
2021-09-01 05:35:00,1630454700000,ETHUSDT,3425.42,3448.0,3425.01,3447.53,20297374.9669,0,5901.596
2021-09-01 05:36:00,1630454760000,ETHUSDT,3447.58,3448.0,3437.1,3443.62,11316942.53021,0,3285.74
2021-09-01 05:37:00,1630454820000,ETHUSDT,3443.78,3444.89,3424.6,3430.45,9112047.75758,0,2652.877
2021-09-01 05:38:00,1630454880000,ETHUSDT,3430.3,3444.41,3429.66,3443.05,7197982.51712,0,2092.373
2021-09-01 05:39:00,1630454940000,ETHUSDT,3443.15,3445.42,3435.7,3445.33,6663104.07895,0,1935.889
2021-09-01 05:40:00,1630455000000,ETHUSDT,3445.33,3445.56,3432.68,3433.43,5456356.36841,0,1586.549
2021-09-01 05:41:00,1630455060000,ETHUSDT,3433.32,3435.62,3430.0,3434.2,3779198.37642,0,1100.786
2021-09-01 05:42:00,1630455120000,ETHUSDT,3434.14,3434.21,3423.78,3423.79,3394358.24422,0,990.201
2021-09-01 05:43:00,1630455180000,ETHUSDT,3423.78,3426.4,3414.63,3420.37,3681005.64552,0,1076.02
2021-09-01 05:44:00,1630455240000,ETHUSDT,3420.38,3429.46,3414.0,3420.65,5533703.20087,0,1617.237
2021-09-01 05:45:00,1630455300000,ETHUSDT,3420.65,3434.05,3420.3,3425.14,6636223.05278,0,1935.726
2021-09-01 05:46:00,1630455360000,ETHUSDT,3425.29,3429.73,3422.81,3426.85,1886775.02669,0,550.58
2021-09-01 05:47:00,1630455420000,ETHUSDT,3426.84,3434.52,3425.46,3434.34,2456481.06016,0,716.024
2021-09-01 05:48:00,1630455480000,ETHUSDT,3434.34,3440.8,3434.34,3439.45,3710634.80496,0,1079.508
2021-09-01 05:49:00,1630455540000,ETHUSDT,3439.54,3439.71,3429.68,3432.74,1593000.4696,0,463.898
2021-09-01 05:50:00,1630455600000,ETHUSDT,3432.73,3439.79,3432.73,3435.71,1650780.92159,0,480.466
2021-09-01 05:51:00,1630455660000,ETHUSDT,3435.72,3435.98,3427.63,3427.9,1019260.58801,0,297.004
2021-09-01 05:52:00,1630455720000,ETHUSDT,3427.92,3430.2,3425.71,3429.89,2761809.85415,0,805.699
2021-09-01 05:53:00,1630455780000,ETHUSDT,3429.61,3430.04,3424.7,3425.49,1507307.31561,0,439.831
2021-09-01 05:54:00,1630455840000,ETHUSDT,3425.53,3427.5,3424.63,3425.09,1403868.95284,0,409.767
2021-09-01 05:55:00,1630455900000,ETHUSDT,3425.09,3425.11,3420.06,3421.58,1534853.86117,0,448.496
2021-09-01 05:56:00,1630455960000,ETHUSDT,3421.58,3432.69,3421.44,3424.59,4378602.02979,0,1276.937
2021-09-01 05:57:00,1630456020000,ETHUSDT,3424.58,3434.0,3423.2,3430.0,1456889.04384,0,424.896
2021-09-01 05:58:00,1630456080000,ETHUSDT,3429.99,3432.32,3425.0,3432.07,1629022.08215,0,474.987
2021-09-01 05:59:00,1630456140000,ETHUSDT,3431.77,3435.44,3428.34,3435.21,1616514.30294,0,470.841
2021-09-01 06:00:00,1630456200000,ETHUSDT,3435.21,3435.5,3425.66,3427.24,1990346.21248,0,580.171
2021-09-01 06:01:00,1630456260000,ETHUSDT,3427.25,3430.68,3425.01,3429.86,1524401.21001,0,444.69
2021-09-01 06:02:00,1630456320000,ETHUSDT,3429.85,3430.14,3426.28,3429.99,943236.86738,0,275.139
2021-09-01 06:03:00,1630456380000,ETHUSDT,3430.0,3430.97,3426.86,3426.86,1266639.65918,0,369.347
2021-09-01 06:04:00,1630456440000,ETHUSDT,3426.86,3428.26,3426.5,3427.09,588235.62476,0,171.636
2021-09-01 06:05:00,1630456500000,ETHUSDT,3427.08,3427.08,3421.21,3423.47,2357787.02217,0,688.708
2021-09-01 06:06:00,1630456560000,ETHUSDT,3423.5,3424.93,3416.17,3416.21,2830428.15233,0,827.278
2021-09-01 06:07:00,1630456620000,ETHUSDT,3416.18,3423.03,3415.78,3422.23,2223268.4575,0,650.178
2021-09-01 06:08:00,1630456680000,ETHUSDT,3422.3,3425.0,3417.29,3419.99,1370322.10186,0,400.515
2021-09-01 06:09:00,1630456740000,ETHUSDT,3419.99,3421.84,3416.67,3416.68,3492001.4658,0,1020.998
2021-09-01 06:10:00,1630456800000,ETHUSDT,3416.67,3422.31,3415.2,3418.68,2131597.93109,0,623.357
2021-09-01 06:11:00,1630456860000,ETHUSDT,3418.68,3422.0,3417.16,3417.84,962722.19944,0,281.481
2021-09-01 06:12:00,1630456920000,ETHUSDT,3417.84,3417.84,3407.44,3408.5,3453771.48426,0,1012.044
2021-09-01 06:13:00,1630456980000,ETHUSDT,3408.5,3413.54,3407.39,3408.82,2867205.99634,0,840.81
2021-09-01 06:14:00,1630457040000,ETHUSDT,3408.81,3414.55,3408.81,3413.87,3663001.99526,0,1073.462
2021-09-01 06:15:00,1630457100000,ETHUSDT,3413.86,3414.48,3406.44,3406.44,1386224.63845,0,406.495
2021-09-01 06:16:00,1630457160000,ETHUSDT,3406.45,3409.34,3404.1,3408.01,4507156.83934,0,1322.97
2021-09-01 06:17:00,1630457220000,ETHUSDT,3407.93,3409.03,3402.24,3403.39,1321715.34672,0,388.083
2021-09-01 06:18:00,1630457280000,ETHUSDT,3403.39,3408.56,3397.1,3397.56,6320781.54725,0,1857.549
2021-09-01 06:19:00,1630457340000,ETHUSDT,3397.57,3399.4,3395.0,3397.65,4154872.71405,0,1223.0
2021-09-01 06:20:00,1630457400000,ETHUSDT,3397.9,3400.0,3397.38,3398.6,4712607.91576,0,1386.333
2021-09-01 06:21:00,1630457460000,ETHUSDT,3398.59,3399.34,3392.66,3397.45,3120275.66693,0,918.853
2021-09-01 06:22:00,1630457520000,ETHUSDT,3397.44,3398.0,3392.22,3397.98,2809488.63865,0,827.319
2021-09-01 06:23:00,1630457580000,ETHUSDT,3397.83,3407.97,3397.82,3406.47,8619591.20371,0,2534.312
2021-09-01 06:24:00,1630457640000,ETHUSDT,3406.23,3410.56,3404.15,3407.54,4419518.18995,0,1296.923
2021-09-01 06:25:00,1630457700000,ETHUSDT,3407.53,3407.93,3403.0,3405.35,1526492.62639,0,448.269
2021-09-01 06:26:00,1630457760000,ETHUSDT,3405.34,3405.42,3398.99,3400.82,1166869.62955,0,343.033
2021-09-01 06:27:00,1630457820000,ETHUSDT,3400.83,3400.95,3399.0,3399.0,1426594.33252,0,419.583
2021-09-01 06:28:00,1630457880000,ETHUSDT,3399.0,3401.6,3398.41,3399.22,1473858.21773,0,433.451
2021-09-01 06:29:00,1630457940000,ETHUSDT,3399.23,3401.0,3399.01,3399.03,1344616.57846,0,395.456
2021-09-01 06:30:00,1630458000000,ETHUSDT,3399.02,3399.03,3381.23,3387.56,12487792.71306,0,3685.375
2021-09-01 06:31:00,1630458060000,ETHUSDT,3387.48,3388.9,3383.0,3388.79,6084411.9323,0,1796.996
2021-09-01 06:32:00,1630458120000,ETHUSDT,3388.93,3390.65,3385.38,3386.99,5200065.82896,0,1534.488
2021-09-01 06:33:00,1630458180000,ETHUSDT,3386.98,3393.59,3383.21,3393.58,6118465.76593,0,1804.772
2021-09-01 06:34:00,1630458240000,ETHUSDT,3393.59,3399.82,3392.1,3399.22,5171622.26868,0,1522.369
2021-09-01 06:35:00,1630458300000,ETHUSDT,3399.22,3403.52,3395.08,3403.0,4302449.84718,0,1265.504
2021-09-01 06:36:00,1630458360000,ETHUSDT,3403.15,3409.73,3402.09,3403.31,7823720.90066,0,2297.563
2021-09-01 06:37:00,1630458420000,ETHUSDT,3403.31,3403.32,3398.35,3399.81,1890303.92234,0,555.981
2021-09-01 06:38:00,1630458480000,ETHUSDT,3399.81,3402.33,3398.0,3399.84,1335271.49565,0,392.673
2021-09-01 06:39:00,1630458540000,ETHUSDT,3399.85,3400.44,3394.25,3394.58,1841602.16086,0,542.126
2021-09-01 06:40:00,1630458600000,ETHUSDT,3394.56,3394.57,3389.18,3390.21,4113112.47321,0,1212.844
2021-09-01 06:41:00,1630458660000,ETHUSDT,3390.2,3392.25,3386.77,3387.81,2469474.55163,0,728.659
2021-09-01 06:42:00,1630458720000,ETHUSDT,3387.81,3395.18,3385.06,3394.56,3523539.02162,0,1039.661
2021-09-01 06:43:00,1630458780000,ETHUSDT,3394.55,3394.68,3390.33,3392.89,1724357.10155,0,508.34
