tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-04-01 05:31:00,1617235260000,ETHUSDT,1935.01,1937.71,1932.96,1936.97,4919364.6915,0,2541.395
2021-04-01 05:32:00,1617235320000,ETHUSDT,1937.19,1942.92,1936.11,1941.8,4255446.74331,0,2193.26
2021-04-01 05:33:00,1617235380000,ETHUSDT,1941.81,1943.2,1939.97,1942.59,4865699.60689,0,2505.529
2021-04-01 05:34:00,1617235440000,ETHUSDT,1942.6,1942.6,1937.0,1940.29,3474501.32974,0,1791.07
2021-04-01 05:35:00,1617235500000,ETHUSDT,1940.28,1940.88,1935.52,1935.53,1295937.27257,0,668.467
2021-04-01 05:36:00,1617235560000,ETHUSDT,1935.54,1939.6,1935.06,1938.6,2132144.19864,0,1100.2
2021-04-01 05:37:00,1617235620000,ETHUSDT,1938.55,1939.06,1935.21,1935.21,903739.4647,0,466.489
2021-04-01 05:38:00,1617235680000,ETHUSDT,1935.21,1935.73,1933.03,1934.71,2553774.33919,0,1320.144
2021-04-01 05:39:00,1617235740000,ETHUSDT,1934.71,1935.0,1932.84,1932.85,758255.50823,0,392.125
2021-04-01 05:40:00,1617235800000,ETHUSDT,1932.85,1934.0,1932.69,1934.0,1650289.83509,0,853.573
2021-04-01 05:41:00,1617235860000,ETHUSDT,1934.0,1934.2,1930.82,1931.52,1020575.96017,0,528.078
2021-04-01 05:42:00,1617235920000,ETHUSDT,1931.51,1931.54,1929.0,1931.34,1193069.40645,0,617.955
2021-04-01 05:43:00,1617235980000,ETHUSDT,1931.34,1931.36,1927.78,1929.37,862818.66612,0,447.154
2021-04-01 05:44:00,1617236040000,ETHUSDT,1929.37,1931.21,1928.16,1930.59,1388316.2877,0,719.509
2021-04-01 05:45:00,1617236100000,ETHUSDT,1930.62,1931.0,1930.0,1930.41,1298631.13674,0,672.65
2021-04-01 05:46:00,1617236160000,ETHUSDT,1930.42,1930.74,1928.45,1928.52,434134.85939,0,224.913
2021-04-01 05:47:00,1617236220000,ETHUSDT,1928.53,1929.52,1928.16,1929.33,676585.42661,0,350.759
2021-04-01 05:48:00,1617236280000,ETHUSDT,1929.59,1932.12,1929.55,1931.09,1545941.49006,0,800.396
2021-04-01 05:49:00,1617236340000,ETHUSDT,1931.07,1932.36,1928.0,1928.39,1407864.88685,0,729.552
2021-04-01 05:50:00,1617236400000,ETHUSDT,1928.39,1930.58,1928.0,1930.42,995709.15594,0,516.103
2021-04-01 05:51:00,1617236460000,ETHUSDT,1930.41,1932.22,1930.26,1931.84,914281.47616,0,473.353
