tradingDay,unix,symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
2021-02-01 06:06:00,1612139760000,ETHUSDT,1280.25,1284.4,1280.25,1281.66,3101628.38379,0,2418.342
2021-02-01 06:07:00,1612139820000,ETHUSDT,1281.66,1283.53,1280.49,1281.73,1743894.91644,0,1360.208
2021-02-01 06:08:00,1612139880000,ETHUSDT,1281.73,1284.49,1280.96,1282.64,1656429.70621,0,1290.889
2021-02-01 06:09:00,1612139940000,ETHUSDT,1282.7,1283.33,1281.02,1281.53,670613.82965,0,522.977
2021-02-01 06:10:00,1612140000000,ETHUSDT,1281.52,1284.5,1280.99,1283.21,2158858.89326,0,1682.66
2021-02-01 06:11:00,1612140060000,ETHUSDT,1283.32,1283.32,1280.0,1280.1,1150040.39836,0,897.224
2021-02-01 06:12:00,1612140120000,ETHUSDT,1280.03,1281.78,1278.8,1281.49,1533590.93378,0,1197.649
2021-02-01 06:13:00,1612140180000,ETHUSDT,1281.5,1284.99,1281.5,1282.87,2423022.67256,0,1887.817
2021-02-01 06:14:00,1612140240000,ETHUSDT,1282.98,1283.78,1280.55,1281.38,782460.76478,0,610.257
2021-02-01 06:15:00,1612140300000,ETHUSDT,1281.31,1283.44,1279.63,1281.72,696612.30738,0,543.711
2021-02-01 06:16:00,1612140360000,ETHUSDT,1281.84,1282.63,1279.68,1280.6,402754.24256,0,314.434
2021-02-01 06:17:00,1612140420000,ETHUSDT,1280.49,1281.94,1280.31,1281.72,758109.18125,0,591.648
2021-02-01 06:18:00,1612140480000,ETHUSDT,1281.71,1284.5,1280.4,1280.81,1932979.44668,0,1506.63
2021-02-01 06:19:00,1612140540000,ETHUSDT,1280.84,1282.34,1278.66,1279.42,677076.93503,0,528.377
2021-02-01 06:20:00,1612140600000,ETHUSDT,1279.46,1280.08,1275.14,1275.97,796448.1096,0,623.519
2021-02-01 06:21:00,1612140660000,ETHUSDT,1275.97,1277.85,1275.47,1277.85,896131.55358,0,701.96
2021-02-01 06:22:00,1612140720000,ETHUSDT,1277.84,1279.3,1277.24,1278.97,842797.03125,0,659.215
2021-02-01 06:23:00,1612140780000,ETHUSDT,1278.99,1280.38,1278.99,1279.77,608028.18493,0,475.091
2021-02-01 06:24:00,1612140840000,ETHUSDT,1279.77,1281.46,1278.34,1278.45,646521.10202,0,504.982
2021-02-01 06:25:00,1612140900000,ETHUSDT,1278.45,1280.74,1278.44,1279.85,761524.47538,0,594.94
2021-02-01 06:26:00,1612140960000,ETHUSDT,1279.85,1281.01,1278.7,1280.02,544479.47292,0,425.448
2021-02-01 06:27:00,1612141020000,ETHUSDT,1280.1,1281.5,1279.83,1280.99,283574.60493,0,221.453
2021-02-01 06:28:00,1612141080000,ETHUSDT,1280.8,1282.0,1279.71,1280.33,872637.86464,0,681.134
2021-02-01 06:29:00,1612141140000,ETHUSDT,1280.33,1281.25,1279.85,1281.06,1300168.81993,0,1015.092
2021-02-01 06:30:00,1612141200000,ETHUSDT,1280.95,1282.92,1280.66,1282.84,1858364.00555,0,1449.473
2021-02-01 06:31:00,1612141260000,ETHUSDT,1282.84,1282.84,1278.46,1278.51,492436.16302,0,384.419
2021-02-01 06:32:00,1612141320000,ETHUSDT,1278.5,1282.8,1278.41,1282.75,763133.21775,0,595.803
2021-02-01 06:33:00,1612141380000,ETHUSDT,1282.75,1285.0,1282.43,1284.04,1364847.19343,0,1063.039
2021-02-01 06:34:00,1612141440000,ETHUSDT,1284.15,1286.43,1284.1,1286.3,1528555.01077,0,1189.395
2021-02-01 06:35:00,1612141500000,ETHUSDT,1286.26,1286.84,1283.76,1283.92,1275527.68832,0,991.878
2021-02-01 06:36:00,1612141560000,ETHUSDT,1283.92,1285.16,1283.2,1284.65,485199.7259,0,377.852
2021-02-01 06:37:00,1612141620000,ETHUSDT,1284.74,1285.87,1284.18,1285.0,396181.66667,0,308.349
2021-02-01 06:38:00,1612141680000,ETHUSDT,1285.0,1286.94,1285.0,1286.26,541008.38316,0,420.616
2021-02-01 06:39:00,1612141740000,ETHUSDT,1286.25,1287.47,1285.47,1286.25,523546.81688,0,407.021
2021-02-01 06:40:00,1612141800000,ETHUSDT,1286.25,1287.47,1285.31,1286.33,966569.0688,0,751.41
2021-02-01 06:41:00,1612141860000,ETHUSDT,1286.33,1287.5,1285.59,1287.44,612428.5757,0,476.066
2021-02-01 06:42:00,1612141920000,ETHUSDT,1287.45,1288.38,1286.6,1288.05,879079.31066,0,682.549
2021-02-01 06:43:00,1612141980000,ETHUSDT,1288.05,1289.82,1288.05,1288.64,1774005.17829,0,1376.252
2021-02-01 06:44:00,1612142040000,ETHUSDT,1288.53,1289.27,1287.05,1288.67,935049.40107,0,725.887
2021-02-01 06:45:00,1612142100000,ETHUSDT,1288.67,1288.93,1287.53,1287.57,373035.90075,0,289.6
2021-02-01 06:46:00,1612142160000,ETHUSDT,1287.6,1288.27,1287.02,1287.51,414777.48877,0,322.121
2021-02-01 06:47:00,1612142220000,ETHUSDT,1287.51,1288.6,1287.12,1288.21,500417.6383,0,388.581
2021-02-01 06:48:00,1612142280000,ETHUSDT,1288.16,1289.56,1287.5,1287.5,568395.77164,0,441.017
2021-02-01 06:49:00,1612142340000,ETHUSDT,1287.5,1288.25,1286.11,1286.41,150803.89769,0,117.153
2021-02-01 06:50:00,1612142400000,ETHUSDT,1286.41,1287.77,1286.0,1287.25,403611.04507,0,313.696
2021-02-01 06:51:00,1612142460000,ETHUSDT,1287.25,1297.99,1287.08,1295.82,5853196.81813,0,4525.292
2021-02-01 06:52:00,1612142520000,ETHUSDT,1295.82,1299.74,1295.16,1296.3,2787986.0131,0,2148.23
2021-02-01 06:53:00,1612142580000,ETHUSDT,1296.32,1296.98,1294.13,1295.71,1320525.979,0,1019.174
2021-02-01 06:54:00,1612142640000,ETHUSDT,1295.71,1303.18,1295.53,1300.93,4015841.44802,0,3088.641
2021-02-01 06:55:00,1612142700000,ETHUSDT,1301.04,1304.0,1299.78,1303.26,1900253.30732,0,1459.279
2021-02-01 06:56:00,1612142760000,ETHUSDT,1303.26,1304.95,1300.55,1304.44,1807322.99216,0,1386.566
2021-02-01 06:57:00,1612142820000,ETHUSDT,1304.44,1304.64,1302.52,1304.46,446321.18443,0,342.422
2021-02-01 06:58:00,1612142880000,ETHUSDT,1304.29,1304.89,1302.36,1303.32,529820.57998,0,406.269
2021-02-01 06:59:00,1612142940000,ETHUSDT,1303.33,1303.66,1300.78,1300.9,632203.9725,0,485.339
2021-02-01 07:00:00,1612143000000,ETHUSDT,1300.84,1304.14,1300.12,1301.87,1338733.15891,0,1028.089
2021-02-01 07:01:00,1612143060000,ETHUSDT,1301.88,1301.98,1300.08,1300.85,815164.24332,0,626.419
2021-02-01 07:02:00,1612143120000,ETHUSDT,1300.85,1301.79,1294.9,1295.32,900956.82183,0,693.8
2021-02-01 07:03:00,1612143180000,ETHUSDT,1295.36,1299.53,1294.37,1296.77,2341539.29294,0,1804.402
2021-02-01 07:04:00,1612143240000,ETHUSDT,1296.77,1298.81,1296.77,1298.24,2629814.39409,0,2025.945
2021-02-01 07:05:00,1612143300000,ETHUSDT,1298.25,1302.27,1298.25,1302.23,1581677.27352,0,1216.585
2021-02-01 07:06:00,1612143360000,ETHUSDT,1302.24,1306.48,1301.79,1305.3,2309894.96237,0,1770.709
2021-02-01 07:07:00,1612143420000,ETHUSDT,1305.4,1308.5,1305.11,1307.48,1603992.47396,0,1227.687
2021-02-01 07:08:00,1612143480000,ETHUSDT,1307.66,1308.5,1305.2,1305.81,709450.92089,0,542.776
2021-02-01 07:09:00,1612143540000,ETHUSDT,1305.81,1308.91,1304.4,1304.73,681979.07511,0,521.656
2021-02-01 07:10:00,1612143600000,ETHUSDT,1304.73,1305.93,1303.3,1305.05,1213887.53536,0,930.424
